*******   Differentiation Vector  with pf   *******
Similar documents

 	 PaperID	 CosineSimilarity
 RANK 	1 1185925	 SCORE  0.1334175 SLEUTH: Single-pubLisher attack dEtection Using correlaTion Hunting.
 RANK 	2 159366	 SCORE  0.1151916 Attribute-Based Access to Distributed Data over P2P Networks.
 RANK 	3 144383	 SCORE  0.1148155 On the Importance of Tuning in Incremental View Maintenance: An Experience Case Study.
 RANK 	4 370803	 SCORE  0.1036219 Dynamic Stochastic Models for Workflow Response Optimization.
 RANK 	5 499859	 SCORE  0.0919668 ABACUS: A Distributed Middleware for Privacy Preserving Data Sharing Across Private Data Warehouses.
 RANK 	6 224503	 SCORE  0.0822589 Speeding Up Similarity Queries over Large Chinese Calligraphic Character Databases Using Data Grid.
 RANK 	7 846412	 SCORE  0.0795648 Progressive ranking of range aggregates.
 RANK 	8 144425	 SCORE  0.0789295 Space-Efficient Data Cubes for Dynamic Environments.
 RANK 	9 845905	 SCORE  0.0771770 Freshness-driven adaptive caching for dynamic content Web sites.
 RANK 	10 1114115	 SCORE  0.0684143 SPOT Databases: Efficient Consistency Checking and Optimistic Selection in Probabilistic Spatial Databases.
 RANK 	11 643554	 SCORE  0.0672400 Parallel Querying with Non-Dedicated Computers.
 RANK 	12 675677	 SCORE  0.0644017 Extracting data records from the web using tag path clustering.
 RANK 	13 1185942	 SCORE  0.0627473 A request-routing framework for SOA-based enterprise computing.
 RANK 	14 1112575	 SCORE  0.0611632 A Compensation-Based Approach for View Maintenance in Distributed Environments.
 RANK 	15 1124650	 SCORE  0.0582254 Optimal Information Dissemination in Star and Pancake Networks.
 RANK 	16 712831	 SCORE  0.0569716 Confidence-driven early object elimination in quality-aware sensor workflows.
 RANK 	17 96141	 SCORE  0.0561406 Towards interactive indexing for large Chinese calligraphic character databases.
 RANK 	18 1113938	 SCORE  0.0553342 A Logical Formulation of Probabilistic Spatial Databases.
 RANK 	19 509167	 SCORE  0.0546728 Towards Optimal I/O Scheduling for MEMS-Based Storag.
 RANK 	20 299311	 SCORE  0.0532229 On Querying and Exploring Activities on a User's Desktop.
